fascia,sesso,anno,1A,1B
35-44,M,2019,"24,5","73,5"
45-54,M,2019,"27,4","71,5"
55-64,M,2019,"27,5","71,5"
65-74,M,2019,"24,5","74,3"
>75,M,2019,"20,5","78,0"
14-17,F,2019,"21,0","77,3"
18-24,F,2019,"23,5","75,3"
25-34,F,2019,"25,0","73,8"
35-44,F,2019,"23,5","74,9"
45-54,F,2019,"24,1","74,5"
55-64,F,2019,"23,8","74,8"
65-74,F,2019,"21,1","77,1"
>75,F,2019,"17,0","81,2"
14-17,M,2020,"22,9","76,0"
18-24,M,2020,"23,4","74,2"
25-34,M,2020,"23,8","74,2"
35-44,M,2020,"23,5","74,5"
45-54,M,2020,"24,7","74,3"
55-64,M,2020,"28,6","70,2"
65-74,M,2020,"24,6","73,8"
>75,M,2020,"19,9","78,8"
14-17,F,2020,"20,2","78,1"
18-24,F,2020,"20,3","78,7"
25-34,F,2020,"23,1","75,5"
35-44,F,2020,"23,8","74,6"
45-54,F,2020,"24,1","74,7"
55-64,F,2020,"25,9","72,7"
65-74,F,2020,"20,3","78,0"
>75,F,2020,"17,2","81,2"
14-17,M,2021,"25,7","72,5"
18-24,M,2021,"24,3","73,4"
25-34,M,2021,"28,3","70,1"
35-44,M,2021,"26,7","71,7"
45-54,M,2021,"26,6","71,5"
55-64,M,2021,"29,5","68,8"
65-74,M,2021,"28,3","70,2"
>75,M,2021,"23,1","74,1"
14-17,F,2021,"22,4","75,1"
18-24,F,2021,"21,7","77,2"
25-34,F,2021,"25,5","73,0"
35-44,F,2021,"25,0","73,6"
45-54,F,2021,"25,9","72,7"
55-64,F,2021,"27,2","71,1"
65-74,F,2021,"24,3","73,5"
>75,F,2021,"18,9","78,8"
14-17,M,2022,"25,7","69,7"
18-24,M,2022,"26,5","72,1"
25-34,M,2022,"24,7","73,3"
35-44,M,2022,"25,1","73,1"
45-54,M,2022,"27,2","71,4"
55-64,M,2022,"28,0","70,6"
65-74,M,2022,"27,2","71,1"
>75,M,2022,"19,7","78,7"
14-17,F,2022,"23,2","75,4"
18-24,F,2022,"24,0","74,4"
25-34,F,2022,"24,1","74,1"
35-44,F,2022,"23,8","74,9"
45-54,F,2022,"24,4","74,1"
55-64,F,2022,"25,3","73,4"
65-74,F,2022,"23,3","75,1"
>75,F,2022,"16,7","81,7"
14-17,M,2023,"26,8","70,8"
18-24,M,2023,"27,0","71,9"
25-34,M,2023,"25,9","72,8"
35-44,M,2023,"26,3","72,5"
45-54,M,2023,"25,9","73,2"
55-64,M,2023,"30,3","68,5"
65-74,M,2023,"27,9","71,0"
>75,M,2023,"21,1","77,7"
14-17,F,2023,"19,6","77,8"
18-24,F,2023,"20,9","78,2"
25-34,F,2023,"24,1","74,7"
35-44,F,2023,"25,0","73,8"
45-54,F,2023,"23,4","75,8"
55-64,F,2023,"27,0","72,5"
65-74,F,2023,"23,5","75,2"
>75,F,2023,"18,3","80,4"
